Data,Descrição,Valor
01/01/2026,Salario Empresa XYZ,"7500,00"
01/01/2026,iFood *Restaurante,"-31,09"
02/01/2026,Uber viagem,"-33,82"
03/01/2026,Mercado Livre,"-204,41"
03/01/2026,Drogaria Drogasil,"-156,85"
03/01/2026,Farmacia Pacheco,"-78,96"
04/01/2026,Amazon compra,"-64,32"
05/01/2026,Aluguel Imobiliaria Alfa,"-2212,27"
07/01/2026,Padaria da Esquina,"-30,91"
07/01/2026,Supermercado Pao de Acucar,"-434,17"
08/01/2026,Netflix,"-56,30"
08/01/2026,Spotify,"-22,24"
09/01/2026,Bar do Ze,"-136,86"
10/01/2026,Condominio Ed. Central,"-637,65"
12/01/2026,Enel Energia,"-178,38"
12/01/2026,Sabesp Agua,"-93,95"
12/01/2026,Uber viagem,"-39,97"
12/01/2026,Amazon compra,"-107,52"
13/01/2026,Uber viagem,"-21,17"
14/01/2026,Estacionamento Shopping,"-18,51"
15/01/2026,Vivo Internet,"-121,14"
15/01/2026,Estacionamento Shopping,"-23,41"
17/01/2026,Posto Shell combustivel,"-232,44"
18/01/2026,Estacionamento Shopping,"-20,49"
18/01/2026,Supermercado Pao de Acucar,"-349,78"
19/01/2026,Cinema Ingresso,"-55,04"
19/01/2026,Amazon compra,"-101,15"
20/01/2026,Plano de Saude Unimed,"-472,07"
20/01/2026,Farmacia Pacheco,"-107,97"
23/01/2026,Drogaria Drogasil,"-169,86"
25/01/2026,iFood *Restaurante,"-77,38"
27/01/2026,Farmacia Pacheco,"-53,31"
01/02/2026,Salario Empresa XYZ,"7500,00"
03/02/2026,Drogaria Drogasil,"-53,76"
05/02/2026,Aluguel Imobiliaria Alfa,"-2170,38"
05/02/2026,Posto Shell combustivel,"-212,10"
05/02/2026,Uber viagem,"-32,71"
08/02/2026,Netflix,"-56,31"
08/02/2026,Spotify,"-22,20"
08/02/2026,Supermercado Pao de Acucar,"-355,65"
09/02/2026,Padaria da Esquina,"-31,90"
10/02/2026,Condominio Ed. Central,"-646,87"
12/02/2026,Enel Energia,"-183,52"
12/02/2026,Sabesp Agua,"-95,53"
13/02/2026,Mercado Livre,"-218,66"
14/02/2026,Farmacia Pacheco,"-77,62"
15/02/2026,Vivo Internet,"-120,27"
15/02/2026,Farmacia Pacheco,"-30,00"
16/02/2026,Farmacia Pacheco,"-56,54"
17/02/2026,Cinema Ingresso,"-52,63"
19/02/2026,Mercado Livre,"-154,81"
20/02/2026,Plano de Saude Unimed,"-485,30"
23/02/2026,Bar do Ze,"-77,76"
24/02/2026,Farmacia Pacheco,"-27,03"
25/02/2026,Uber viagem,"-13,55"
25/02/2026,Padaria da Esquina,"-16,54"
26/02/2026,iFood *Restaurante,"-45,50"
28/02/2026,Padaria da Esquina,"-38,16"
01/03/2026,Salario Empresa XYZ,"7500,00"
01/03/2026,Padaria da Esquina,"-27,17"
01/03/2026,Cinema Ingresso,"-40,07"
02/03/2026,Posto Shell combustivel,"-152,99"
03/03/2026,Bar do Ze,"-50,28"
04/03/2026,Padaria da Esquina,"-35,86"
05/03/2026,Aluguel Imobiliaria Alfa,"-2212,40"
07/03/2026,Bar do Ze,"-58,34"
08/03/2026,Netflix,"-56,74"
08/03/2026,Spotify,"-21,69"
09/03/2026,Supermercado Pao de Acucar,"-275,24"
10/03/2026,Condominio Ed. Central,"-639,90"
12/03/2026,Enel Energia,"-179,53"
12/03/2026,Sabesp Agua,"-94,82"
14/03/2026,Bar do Ze,"-155,72"
15/03/2026,Vivo Internet,"-122,18"
16/03/2026,Farmacia Pacheco,"-114,42"
18/03/2026,Supermercado Pao de Acucar,"-432,79"
20/03/2026,Plano de Saude Unimed,"-480,01"
25/03/2026,Padaria da Esquina,"-12,02"
25/03/2026,Padaria da Esquina,"-31,36"
27/03/2026,Drogaria Drogasil,"-122,23"
27/03/2026,Amazon compra,"-328,51"
27/03/2026,Cinema Ingresso,"-36,23"
01/04/2026,Salario Empresa XYZ,"7500,00"
02/04/2026,Uber viagem,"-40,37"
02/04/2026,Estacionamento Shopping,"-26,83"
04/04/2026,Uber viagem,"-33,75"
04/04/2026,Farmacia Pacheco,"-21,36"
04/04/2026,Padaria da Esquina,"-9,62"
05/04/2026,Aluguel Imobiliaria Alfa,"-2173,70"
08/04/2026,Netflix,"-55,94"
08/04/2026,Spotify,"-21,57"
08/04/2026,Bar do Ze,"-40,86"
08/04/2026,Uber viagem,"-18,32"
09/04/2026,Supermercado Pao de Acucar,"-251,17"
10/04/2026,Condominio Ed. Central,"-645,10"
11/04/2026,Estacionamento Shopping,"-30,01"
12/04/2026,Enel Energia,"-183,57"
12/04/2026,Sabesp Agua,"-95,57"
14/04/2026,Amazon compra,"-182,11"
15/04/2026,Vivo Internet,"-119,70"
15/04/2026,Padaria da Esquina,"-12,49"
15/04/2026,Uber viagem,"-38,66"
16/04/2026,Farmacia Pacheco,"-37,49"
17/04/2026,Uber viagem,"-19,85"
19/04/2026,iFood *Restaurante,"-61,00"
19/04/2026,Bar do Ze,"-96,72"
20/04/2026,Plano de Saude Unimed,"-474,71"
21/04/2026,Estacionamento Shopping,"-11,47"
24/04/2026,Supermercado Pao de Acucar,"-426,14"
26/04/2026,Cinema Ingresso,"-66,64"
27/04/2026,Padaria da Esquina,"-8,47"
01/05/2026,Salario Empresa XYZ,"7500,00"
03/05/2026,Padaria da Esquina,"-35,24"
05/05/2026,Aluguel Imobiliaria Alfa,"-2164,21"
06/05/2026,Padaria da Esquina,"-9,82"
07/05/2026,Drogaria Drogasil,"-174,99"
08/05/2026,Netflix,"-56,72"
08/05/2026,Spotify,"-22,25"
09/05/2026,Mercado Livre,"-326,12"
10/05/2026,Condominio Ed. Central,"-656,59"
10/05/2026,Cinema Ingresso,"-68,07"
11/05/2026,Estacionamento Shopping,"-11,43"
12/05/2026,Enel Energia,"-178,10"
12/05/2026,Sabesp Agua,"-94,64"
15/05/2026,Vivo Internet,"-119,91"
16/05/2026,Estacionamento Shopping,"-13,87"
16/05/2026,Bar do Ze,"-100,34"
20/05/2026,Plano de Saude Unimed,"-473,56"
24/05/2026,Bar do Ze,"-105,06"
26/05/2026,Estacionamento Shopping,"-23,89"
01/06/2026,Salario Empresa XYZ,"7500,00"
03/06/2026,Amazon compra,"-355,33"
04/06/2026,Bar do Ze,"-48,79"
05/06/2026,Aluguel Imobiliaria Alfa,"-2162,03"
08/06/2026,Netflix,"-56,06"
08/06/2026,Spotify,"-21,97"
09/06/2026,Posto Shell combustivel,"-187,07"
10/06/2026,Condominio Ed. Central,"-638,77"
10/06/2026,Amazon compra,"-88,37"
11/06/2026,Padaria da Esquina,"-37,91"
12/06/2026,Enel Energia,"-182,61"
12/06/2026,Sabesp Agua,"-94,63"
15/06/2026,Vivo Internet,"-122,12"
15/06/2026,iFood *Restaurante,"-65,38"
17/06/2026,Posto Shell combustivel,"-158,34"
20/06/2026,Plano de Saude Unimed,"-471,16"
21/06/2026,Farmacia Pacheco,"-46,50"
22/06/2026,Mercado Livre,"-214,69"
22/06/2026,Posto Shell combustivel,"-257,56"
23/06/2026,Padaria da Esquina,"-17,68"
25/06/2026,Amazon compra,"-376,22"
